seq,ip,sex(paid),age(paid),city(paid),wx_img(weixin),email,weixin_nickname,weixin_sex,weixin_addr,start,finish,browser,os,status,Q1,Q2_A1_open,Q3,Q4,Q5,Q6_A1,Q7_A1
57,39.190.212.235,,,,,,,,,12/12/2019 21:40,12/12/2019 21:41,Unknown Browser,iPhone iOS 12.3,1,2,23,3,2,1,0,7
58,183.198.246.189,,,,,,,,,12/12/2019 21:40,12/12/2019 21:41,Chrome 66.0.3359.126,Android Linux 9,1,2,23,3,2,2,6,8
59,58.20.30.88,,,,,,,,,12/12/2019 21:41,12/12/2019 21:42,Chrome 66.0.3359.126,Android Linux 9,1,2,21,2,2,1,10,8
60,58.100.161.20,,,,,,,,,12/12/2019 21:41,12/12/2019 21:42,Unknown Browser,iPhone iOS 13.1.3,1,2,22,3,2,3,7,8
61,117.136.39.221,,,,,,,,,12/12/2019 21:42,12/12/2019 21:43,Chrome 78.0.3904.108,Android Linux 9,1,2,24,2,2,2,10,5
62,223.104.65.244,,,,,,,,,12/12/2019 21:43,12/12/2019 21:44,Unknown Browser,iPhone iOS 12.3.1,1,2,24,3,2,1,10,10
63,182.139.65.165,,,,,,,,,12/12/2019 21:43,12/12/2019 21:44,Chrome 67.0.3396.87,Android Linux 9,1,2,20,1,2,1,10,10
64,112.36.137.164,,,,,,,,,12/12/2019 21:43,12/12/2019 21:44,Unknown Browser,iPhone iOS 13.1.2,1,2,22,3,2,1,10,3
65,111.50.35.51,,,,,,,,,12/12/2019 21:43,12/12/2019 21:45,Chrome 66.0.3359.126,Android Linux 7.1.2,1,2,22,1,2,1,1,10
66,192.154.103.189,,,,,,,,,12/12/2019 21:43,12/12/2019 21:45,Safari 13.0.1,MacOS Macintosh X 10.14.6,1,2,24,3,2,1,5,9
67,117.136.54.14,,,,,,,,,12/12/2019 21:45,12/12/2019 21:46,Chrome 66.0.3359.126,Android Linux 8.0.0,1,2,20,3,2,1,8,8
68,218.250.105.250,,,,,,,,,12/12/2019 21:44,12/12/2019 21:46,Unknown Browser,iPhone iOS 12.2,1,2,22,2,2,2,5,7
69,61.93.134.97,,,,,,,,,12/12/2019 21:45,12/12/2019 21:46,Chrome 79.0.3945.79,Android Linux 9,1,1,24,4,2,3,7,7
70,223.104.25.76,,,,,,,,,12/12/2019 21:45,12/12/2019 21:46,Chrome 66.0.3359.126,Android Linux 9,1,2,23,1,2,1,5,10
71,119.39.248.1,,,,,,,,,12/12/2019 21:47,12/12/2019 21:48,Unknown Browser,iPhone iOS 12.4.1,1,1,23,2,2,2,4,9
72,120.239.65.190,,,,,,,,,12/12/2019 21:48,12/12/2019 21:49,Unknown Browser,iPhone iOS 13.1.1,1,2,25,1,2,1,6,6
73,111.182.28.82,,,,,,,,,12/12/2019 21:49,12/12/2019 21:50,Unknown Browser,iPhone iOS 13.1.2,1,2,22,1,2,2,5,5
74,117.15.55.155,,,,,,,,,12/12/2019 21:50,12/12/2019 21:52,Unknown Browser,iPhone iOS 12.4.1,1,2,21,2,2,1,10,5
75,211.94.246.174,,,,,,,,,12/12/2019 21:52,12/12/2019 21:53,Chrome 66.0.3359.126,Android Linux 9,1,2,21,3,2,3,5,8
76,106.224.215.254,,,,,,,,,12/12/2019 21:53,12/12/2019 21:54,Chrome 66.0.3359.126,Android Linux 9,1,2,21,1,2,1,6,6
77,61.172.236.163,,,,,,,,,12/12/2019 21:56,12/12/2019 21:57,Unknown Browser,iPhone iOS 12.4.1,1,1,25,4,2,4,7,8
78,117.136.90.177,,,,,,,,,12/12/2019 21:56,12/12/2019 21:57,Chrome 66.0.3359.126,Android Linux 9,1,1,22,1,2,1,6,6
79,112.96.179.2,,,,,,,,,12/12/2019 21:57,12/12/2019 21:58,Chrome 66.0.3359.126,Android Linux 10,1,1,22,1,2,1,0,8
80,5.151.68.25,,,,,,,,,12/12/2019 21:58,12/12/2019 21:59,Unknown Browser,iPhone iOS 13.2.3,1,2,23,1,2,1,7,7
81,36.23.208.191,,,,,,,,,12/12/2019 21:57,12/12/2019 21:59,Unknown Browser,iPhone iOS 13.2,1,1,23,1,2,1,5,2
82,43.225.208.165,,,,,,,,,12/12/2019 21:59,12/12/2019 22:00,Chrome 66.0.3359.126,Android Linux 9,1,2,19,3,2,3,5,5
83,182.239.119.222,,,,,,,,,12/12/2019 21:58,12/12/2019 22:01,Unknown Browser,iPhone iOS 11.2.1,1,2,28,1,2,1,0,4
84,111.30.111.76,,,,,,,,,12/12/2019 22:01,12/12/2019 22:02,Unknown Browser,iPhone iOS 13.1.3,1,2,21,1,2,1,0,3
85,171.43.194.76,,,,,,,,,12/12/2019 22:03,12/12/2019 22:04,Unknown Browser,iPhone iOS 13.1.3,1,2,18,1,2,1,0,0
86,121.32.94.219,,,,,,,,,12/12/2019 22:08,12/12/2019 22:09,Chrome 66.0.3359.126,Android Linux 8.0.0,1,2,22,1,2,1,0,7
87,36.101.197.57,,,,,,,,,12/12/2019 22:08,12/12/2019 22:09,Unknown Browser,iPhone iOS 11.0.3,1,2,23,4,2,2,0,5
88,14.120.135.209,,,,,,,,,12/12/2019 22:07,12/12/2019 22:09,Chrome 66.0.3359.126,Android Linux 10,1,1,52,3,2,1,9,9
89,114.242.250.181,,,,,,,,,12/12/2019 22:09,12/12/2019 22:10,Unknown Browser,iPhone iOS 12.4.1,1,2,24,1,2,1,3,6
90,171.215.34.212,,,,,,,,,12/12/2019 22:10,12/12/2019 22:11,Unknown Browser,iPhone iOS 13.1.3,1,2,28,1,2,1,5,8
91,211.94.237.131,,,,,,,,,12/12/2019 22:15,12/12/2019 22:16,Chrome 74.0.3729.136,Android Linux 9,1,1,22,2,2,1,10,10
92,223.16.60.23,,,,,,,,,12/12/2019 22:15,12/12/2019 22:17,Unknown Browser,iPhone iOS 12.2,1,2,23,1,2,1,6,7
93,110.152.17.253,,,,,,,,,12/12/2019 22:18,12/12/2019 22:19,Unknown Browser,iPhone iOS 13.1.3,1,2,22,2,2,1,0,3
94,113.77.138.40,,,,,,,,,12/12/2019 22:22,12/12/2019 22:24,Unknown Browser,iPhone iOS 13.1.3,1,2,24,1,2,1,7,7
95,14.28.49.248,,,,,,,,,12/12/2019 22:22,12/12/2019 22:24,Chrome 66.0.3359.126,Android Linux 9,1,1,25,1,2,2,7,7
96,14.222.43.225,,,,,,,,,12/12/2019 22:22,12/12/2019 22:24,Unknown Browser,iPhone iOS 11.2.2,1,2,24,2,2,1,5,5
97,36.23.208.191,,,,,,,,,12/12/2019 22:27,12/12/2019 22:27,Unknown Browser,iPhone iOS 13.2,1,1,25,1,2,1,3,0
98,14.219.241.239,,,,,,,,,12/12/2019 22:27,12/12/2019 22:28,Unknown Browser,iPhone iOS 13.1.3,1,2,25,1,2,1,0,5
99,119.247.31.54,,,,,,,,,12/12/2019 22:29,12/12/2019 22:30,Unknown Browser,iPhone iOS 13.1.2,1,2,23,1,2,1,8,7
100,120.230.100.243,,,,,,,,,12/12/2019 22:31,12/12/2019 22:32,Unknown Browser,iPhone iOS 12.4.1,1,2,18,1,2,1,3,3
101,223.104.3.52,,,,,,,,,12/12/2019 22:33,12/12/2019 22:35,Unknown Browser,iPhone iOS 13.1.3,1,2,23,1,2,1,8,5
102,125.47.142.138,,,,,,,,,12/12/2019 22:34,12/12/2019 22:35,Unknown Browser,iPhone iOS 13.1.1,1,1,22,1,2,1,0,5
103,223.72.50.51,,,,,,,,,12/12/2019 22:38,12/12/2019 22:39,Chrome 66.0.3359.126,Android Linux 9,1,2,23,1,2,1,2,7
104,117.136.39.213,,,,,,,,,12/12/2019 22:39,12/12/2019 22:41,Unknown Browser,iPhone iOS 13.1.2,1,2,29,3,2,1,10,5
105,219.136.76.66,,,,,,,,,12/12/2019 22:44,12/12/2019 22:48,Unknown Browser,iPhone iOS 12.1,1,1,25,2,2,2,8,6
106,223.104.64.5,,,,,,,,,12/12/2019 22:54,12/12/2019 22:55,Unknown Browser,iPhone iOS 13.1.2,1,2,24,2,2,2,6,5
107,222.247.201.204,,,,,,,,,12/12/2019 22:54,12/12/2019 22:55,Unknown Browser,iPhone iOS 12.1,1,2,22,3,2,3,5,8
108,61.158.152.125,,,,,,,,,12/12/2019 22:56,12/12/2019 22:57,Unknown Browser,iPhone iOS 13.1.3,1,2,24,1,2,1,8,10
109,14.25.51.230,,,,,,,,,12/12/2019 23:00,12/12/2019 23:01,Unknown Browser,iPhone iOS 12.4.1,1,2,25,1,2,1,8,6
110,223.85.9.254,,,,,,,,,12/12/2019 23:21,12/12/2019 23:22,Chrome 66.0.3359.126,Android Linux 9,1,1,23,2,2,2,4,7
111,112.97.164.126,,,,,,,,,12/13/2019 0:03,12/13/2019 0:04,Chrome 66.0.3359.126,Android Linux 9,1,1,24,2,2,2,5,5
112,101.131.179.210,,,,,,,,,12/13/2019 1:41,12/13/2019 1:43,Unknown Browser,iPhone iOS 13.1.3,1,2,21,3,2,3,8,8
113,112.96.38.49,,,,,,,,,12/13/2019 8:09,12/13/2019 8:10,Unknown Browser,iPhone iOS 12.4,1,1,23,3,2,1,9,8
114,139.214.254.199,,,,,,,,,12/13/2019 14:18,12/13/2019 14:19,Unknown Browser,iPhone iOS 12.4.1,1,1,22,1,2,2,7,7
