seq,ip,sex(paid),age(paid),city(paid),wx_img(weixin),email,weixin_nickname,weixin_sex,weixin_addr,start,finish,browser,os,status,Q1,Q2_A1_open,Q3,Q4,Q5,Q6_A1,Q7_A1
39,117.136.38.184,,,,,,,,,2019-12-12 21:31:21,2019-12-12 21:32:28,Chrome 66.0.3359.126,Android Linux 9,1,2,24,3,3,3,2.0,7.0
40,5.151.171.97,,,,,,,,,2019-12-12 21:30:46,2019-12-12 21:32:37,Unknown Browser,iPhone iOS 13.1.3,1,2,22,1,3,1,3.0,4.0
41,117.136.53.127,,,,,,,,,2019-12-12 21:31:47,2019-12-12 21:33:09,Unknown Browser,iPhone iOS 13.1.3,1,2,21,3,3,3,4.0,4.0
42,62.129.8.2,,,,,,,,,2019-12-12 21:31:27,2019-12-12 21:33:17,Unknown Browser,iPhone iOS 13.1.3,1,2,23,1,3,2,10.0,8.0
43,106.121.178.207,,,,,,,,,2019-12-12 21:35:09,2019-12-12 21:36:43,Chrome 66.0.3359.126,Android Linux 9,1,2,22,3,3,1,9.0,5.0
44,123.232.136.235,,,,,,,,,2019-12-12 21:34:09,2019-12-12 21:36:44,Unknown Browser,IPad iOS 13.2.3,1,2,23,1,3,1,3.0,5.0
45,202.85.82.6,,,,,,,,,2019-12-12 21:35:57,2019-12-12 21:36:49,Unknown Browser,iPhone iOS 12.4.1,1,2,22,1,3,1,2.0,8.0
46,117.136.54.62,,,,,,,,,2019-12-12 21:36:10,2019-12-12 21:37:02,Unknown Browser,iPhone iOS 13.1.3,1,2,21,3,3,3,2.0,4.0
47,118.212.202.7,,,,,,,,,2019-12-12 21:33:41,2019-12-12 21:37:02,Unknown Browser,iPhone iOS 12.4.1,1,2,22,2,3,2,0.0,0.0
48,47.112.215.93,,,,,,,,,2019-12-12 21:39:05,2019-12-12 21:40:19,Unknown Browser,iPhone iOS 13.1.3,1,2,24,1,3,4,9.0,5.0
49,114.103.84.83,,,,,,,,,2019-12-12 21:39:02,2019-12-12 21:40:53,Unknown Browser,iPhone iOS 12.3,1,2,22,1,3,2,7.0,4.0
50,106.226.57.47,,,,,,,,,2019-12-12 21:40:15,2019-12-12 21:41:35,Chrome 66.0.3359.126,Android Linux 9,1,2,22,3,3,3,4.0,3.0
51,223.104.237.128,,,,,,,,,2019-12-12 21:40:52,2019-12-12 21:42:07,Unknown Browser,iPhone iOS 12.4.3,1,2,22,2,3,2,0.0,0.0
52,111.18.36.206,,,,,,,,,2019-12-12 21:41:37,2019-12-12 21:42:59,Chrome 66.0.3359.126,Android Linux 10,1,1,27,3,3,3,3.0,3.0
53,221.124.29.90,,,,,,,,,2019-12-12 21:41:59,2019-12-12 21:42:59,Unknown Browser,iPhone iOS 13.1.2,1,2,23,1,3,2,10.0,5.0
54,80.215.70.209,,,,,,,,,2019-12-12 21:41:40,2019-12-12 21:43:06,Unknown Browser,iPhone iOS 12.4,1,2,23,2,3,2,7.0,7.0
55,113.252.208.210,,,,,,,,,2019-12-12 21:43:14,2019-12-12 21:44:29,Unknown Browser,iPhone iOS 12.4.1,1,2,23,4,3,4,2.0,2.0
56,218.19.152.65,,,,,,,,,2019-12-12 21:44:28,2019-12-12 21:46:03,Chrome 66.0.3359.126,Android Linux 9,1,1,31,1,3,1,0.0,5.0
57,112.96.133.56,,,,,,,,,2019-12-12 21:46:30,2019-12-12 21:47:06,Chrome 67.0.3396.87,Android Linux 10,1,1,20,4,3,4,8.0,8.0
58,117.136.79.121,,,,,,,,,2019-12-12 21:46:05,2019-12-12 21:47:09,Unknown Browser,iPhone iOS 13.1.3,1,1,23,1,3,3,8.0,3.0
59,112.96.103.60,,,,,,,,,2019-12-12 21:46:26,2019-12-12 21:47:19,Unknown Browser,iPhone iOS 12.4.1,1,1,22,2,3,2,7.0,9.0
60,122.238.116.24,,,,,,,,,2019-12-12 21:46:10,2019-12-12 21:47:35,Unknown Browser,iPhone iOS 13.1.3,1,2,23,3,3,1,8.0,8.0
61,123.118.186.123,,,,,,,,,2019-12-12 21:46:30,2019-12-12 21:47:42,Chrome 66.0.3359.126,Android Linux 9,1,2,22,1,3,2,5.0,5.0
62,1.50.97.233,,,,,,,,,2019-12-12 21:46:42,2019-12-12 21:47:46,Chrome 66.0.3359.126,Android Linux 10,1,1,19,2,3,1,4.0,6.0
63,220.115.159.28,,,,,,,,,2019-12-12 21:48:34,2019-12-12 21:49:34,Chrome 66.0.3359.126,Android Linux 9,1,1,20,1,3,2,2.0,2.0
64,223.104.63.100,,,,,,,,,2019-12-12 21:49:17,2019-12-12 21:49:36,Chrome 66.0.3359.126,Android Linux 9,1,1,19,2,3,2,5.0,3.0
65,223.104.56.253,,,,,,,,,2019-12-12 21:48:58,2019-12-12 21:50:02,Unknown Browser,iPhone iOS 13.1.2,1,2,22,1,3,1,2.0,5.0
66,112.96.70.118,,,,,,,,,2019-12-12 21:48:57,2019-12-12 21:50:31,Unknown Browser,iPhone iOS 12.1.2,1,1,20,2,3,2,8.0,3.0
67,112.96.100.41,,,,,,,,,2019-12-12 21:49:33,2019-12-12 21:50:31,Chrome 66.0.3359.126,Android Linux 9,1,1,18,2,3,1,0.0,10.0
68,119.51.164.6,,,,,,,,,2019-12-12 21:49:39,2019-12-12 21:50:46,Chrome 66.0.3359.126,Android Linux 7.1.1,1,1,22,1,3,1,4.0,5.0
69,211.66.119.157,,,,,,,,,2019-12-12 21:49:58,2019-12-12 21:50:51,Chrome 66.0.3359.126,Android Linux 9,1,1,19,2,3,2,0.0,3.0
70,223.104.247.79,,,,,,,,,2019-12-12 21:49:53,2019-12-12 21:50:58,Chrome 66.0.3359.126,Android Linux 9,1,2,22,3,3,2,8.0,7.0
71,117.136.32.86,,,,,,,,,2019-12-12 21:49:41,2019-12-12 21:51:33,Unknown Browser,iPhone iOS 12.4.1,1,1,21,1,3,2,0.0,2.0
72,116.76.227.241,,,,,,,,,2019-12-12 21:50:56,2019-12-12 21:52:04,Opera,Android Linux 8.0.0,1,2,23,2,3,2,1.0,3.0
73,112.96.179.65,,,,,,,,,2019-12-12 21:53:07,2019-12-12 21:53:41,Chrome 66.0.3359.126,Android Linux 9,1,1,20,4,3,4,5.0,5.0
74,106.39.42.108,,,,,,,,,2019-12-12 21:53:01,2019-12-12 21:54:54,Chrome 66.0.3359.126,Android Linux 9,1,1,22,2,3,2,0.0,1.0
75,210.6.97.39,,,,,,,,,2019-12-12 21:53:32,2019-12-12 21:55:07,Unknown Browser,MacOS Macintosh X 10.14.5,1,1,22,1,3,1,2.0,6.0
76,101.232.13.143,,,,,,,,,2019-12-12 21:54:06,2019-12-12 21:55:18,Chrome 66.0.3359.126,Android Linux 9,1,2,24,1,3,2,9.0,5.0
77,110.81.125.198,,,,,,,,,2019-12-12 21:54:31,2019-12-12 21:55:27,Unknown Browser,iPhone iOS 12.4.1,1,2,22,1,3,1,8.0,7.0
78,138.19.17.241,,,,,,,,,2019-12-12 21:54:39,2019-12-12 21:55:44,Unknown Browser,iPhone iOS 13.2.3,1,2,21,3,3,3,5.0,5.0
79,220.115.159.31,,,,,,,,,2019-12-12 21:55:16,2019-12-12 21:56:07,Unknown Browser,iPhone iOS 13.3,1,1,19,1,3,1,5.0,5.0
80,58.62.42.185,,,,,,,,,2019-12-12 21:55:38,2019-12-12 21:56:14,Unknown Browser,iPhone iOS 13.1.2,1,2,21,4,3,4,8.0,8.0
81,114.242.249.69,,,,,,,,,2019-12-12 21:54:44,2019-12-12 21:56:32,Chrome 67.0.3396.87,Android Linux 7.0,1,2,29,4,3,2,9.0,1.0
82,106.44.115.128,,,,,,,,,2019-12-12 21:55:50,2019-12-12 21:56:44,Unknown Browser,iPhone iOS 13.1.2,1,2,23,4,3,4,1.0,5.0
83,101.206.168.20,,,,,,,,,2019-12-12 21:55:33,2019-12-12 21:56:52,Chrome 66.0.3359.126,Android Linux 8.0.0,1,1,21,1,3,1,7.0,5.0
84,218.189.105.254,,,,,,,,,2019-12-12 21:55:20,2019-12-12 21:56:55,Chrome 66.0.3359.126,Android Linux 8.0.0,1,2,27,1,3,1,7.0,3.0
85,138.19.204.39,,,,,,,,,2019-12-12 21:54:40,2019-12-12 21:57:06,Chrome 53.0.2875.116,Windows Wechat,1,1,24,2,3,2,4.0,5.0
86,112.17.240.113,,,,,,,,,2019-12-12 21:56:41,2019-12-12 21:57:25,Chrome 67.0.3396.87,Android Linux 8.1.0,1,2,23,2,3,2,6.0,4.0
87,117.136.0.247,,,,,,,,,2019-12-12 21:56:19,2019-12-12 21:57:36,Chrome 67.0.3396.87,Android Linux 9,1,1,23,1,3,1,0.0,2.0
88,221.192.178.30,,,,,,,,,2019-12-12 21:55:03,2019-12-12 21:57:45,Unknown Browser,iPhone iOS 12.4.1,1,2,26,3,3,1,10.0,2.0
89,101.16.190.159,,,,,,,,,2019-12-12 21:57:18,2019-12-12 21:57:54,Unknown Browser,iPhone iOS 13.1.3,1,2,18,3,3,3,7.0,7.0
90,114.255.218.29,,,,,,,,,2019-12-12 21:56:34,2019-12-12 21:58:06,Chrome 67.0.3396.87,Android Linux 9,1,2,22,2,3,2,1.0,3.0
91,14.223.163.248,,,,,,,,,2019-12-12 21:57:09,2019-12-12 21:58:11,Chrome 78.0.3904.96,Android Linux 9,1,1,23,3,3,1,8.0,6.0
92,115.33.12.149,,,,,,,,,2019-12-12 21:57:09,2019-12-12 21:58:37,Chrome 66.0.3359.126,Android Linux 9,1,1,21,4,3,4,0.0,5.0
93,223.104.45.174,,,,,,,,,2019-12-12 21:58:15,2019-12-12 21:59:14,Unknown Browser,iPhone iOS 11.3,1,2,23,1,3,1,3.0,3.0
94,223.104.96.39,,,,,,,,,2019-12-12 21:57:55,2019-12-12 21:59:14,Unknown Browser,iPhone iOS 11.3,1,2,23,4,3,1,7.0,5.0
95,61.140.247.153,,,,,,,,,2019-12-12 21:58:09,2019-12-12 21:59:34,Unknown Browser,iPhone iOS 12.4,1,2,23,1,3,2,8.0,8.0
96,123.121.81.170,,,,,,,,,2019-12-12 21:58:25,2019-12-12 22:00:09,Unknown Browser,iPhone iOS 13.0,1,2,22,2,3,1,5.0,5.0
97,171.124.26.61,,,,,,,,,2019-12-12 21:59:34,2019-12-12 22:00:51,Unknown Browser,iPhone iOS 13.2,1,2,22,1,3,2,6.0,5.0
98,111.199.218.212,,,,,,,,,2019-12-12 22:00:39,2019-12-12 22:01:55,Unknown Browser,iPhone iOS 13.0,1,2,22,1,3,2,2.0,3.0
99,124.89.138.217,,,,,,,,,2019-12-12 22:00:38,2019-12-12 22:01:59,Unknown Browser,MacOS Macintosh X 10.13.3,1,2,23,3,3,2,3.0,4.0
100,112.250.104.183,,,,,,,,,2019-12-12 22:00:39,2019-12-12 22:02:31,Chrome 66.0.3359.126,Android Linux 9,1,2,23,1,3,2,5.0,2.0
101,116.76.236.102,,,,,,,,,2019-12-12 22:03:43,2019-12-12 22:04:02,Unknown Browser,iPhone iOS 13.1.3,1,1,18,4,3,3,6.0,6.0
102,116.224.34.238,,,,,,,,,2019-12-12 22:02:48,2019-12-12 22:04:22,Chrome 66.0.3359.126,Android Linux 8.1.0,1,2,22,1,3,1,0.0,5.0
103,101.88.234.5,,,,,,,,,2019-12-12 22:03:04,2019-12-12 22:04:25,Unknown Browser,iPhone iOS 13.1.3,1,2,23,1,3,2,8.0,6.0
104,183.7.254.87,,,,,,,,,2019-12-12 22:04:00,2019-12-12 22:04:35,Unknown Browser,iPhone iOS 12.4.1,1,2,24,1,3,2,6.0,6.0
105,223.104.64.214,,,,,,,,,2019-12-12 22:03:13,2019-12-12 22:04:54,Chrome 66.0.3359.126,Android Linux 10,1,1,20,4,3,4,3.0,2.0
106,182.104.5.203,,,,,,,,,2019-12-12 22:03:03,2019-12-12 22:05:06,Unknown Browser,iPhone iOS 13.1.3,1,2,22,4,3,4,8.0,5.0
107,120.236.163.32,,,,,,,,,2019-12-12 22:04:17,2019-12-12 22:05:28,Unknown Browser,iPhone iOS 13.1.3,1,2,22,1,3,1,5.0,5.0
108,61.158.149.114,,,,,,,,,2019-12-12 22:04:41,2019-12-12 22:05:28,Chrome 66.0.3359.126,Android Linux 9,1,2,23,4,3,4,6.0,7.0
109,1.50.65.106,,,,,,,,,2019-12-12 22:04:07,2019-12-12 22:05:33,Chrome 66.0.3359.126,Android Linux 8.1.0,1,2,22,1,3,1,3.0,7.0
110,117.166.55.4,,,,,,,,,2019-12-12 22:04:52,2019-12-12 22:06:18,Chrome 66.0.3359.126,Android Linux 10,1,2,22,2,3,2,2.0,4.0
111,111.72.154.152,,,,,,,,,2019-12-12 22:05:27,2019-12-12 22:06:30,Unknown Browser,iPhone iOS 13.1.3,1,2,21,3,3,3,2.0,7.0
112,117.136.52.196,,,,,,,,,2019-12-12 22:05:45,2019-12-12 22:06:56,Chrome 67.0.3396.87,Android Linux 9,1,2,21,1,3,1,6.0,5.0
113,220.115.183.130,,,,,,,,,2019-12-12 22:06:50,2019-12-12 22:07:27,Chrome 66.0.3359.126,Android Linux 9,1,1,18,2,3,2,2.0,4.0
114,182.239.122.197,,,,,,,,,2019-12-12 22:06:00,2019-12-12 22:07:34,Unknown Browser,iPhone iOS 13.3,1,1,26,1,3,1,3.0,1.0
115,223.88.46.199,,,,,,,,,2019-12-12 22:04:47,2019-12-12 22:08:19,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.884.400 QQBrowser/9.0.2524.400,1,2,24,3,3,1,10.0,5.0
116,117.136.38.134,,,,,,,,,2019-12-12 22:10:14,2019-12-12 22:12:16,Unknown Browser,iPhone iOS 12.3.1,1,2,22,1,3,1,0.0,6.0
117,60.247.50.206,,,,,,,,,2019-12-12 22:11:37,2019-12-12 22:12:56,Unknown Browser,iPhone iOS 12.2,1,2,21,1,3,2,8.0,7.0
118,114.254.120.126,,,,,,,,,2019-12-12 22:14:22,2019-12-12 22:15:52,Unknown Browser,iPhone iOS 13.1.3,1,2,38,4,3,4,0.0,6.0
119,219.236.77.188,,,,,,,,,2019-12-12 22:17:37,2019-12-12 22:19:10,Chrome 66.0.3359.126,Android Linux 9,1,2,46,2,3,2,0.0,2.0
120,183.193.60.241,,,,,,,,,2019-12-12 22:18:47,2019-12-12 22:19:51,Unknown Browser,iPhone iOS 13.0,1,2,21,2,3,2,6.0,5.0
121,58.212.147.2,,,,,,,,,2019-12-12 22:19:14,2019-12-12 22:20:10,Unknown Browser,iPhone iOS 12.4.1,1,1,23,1,3,2,5.0,5.0
122,39.176.40.146,,,,,,,,,2019-12-12 22:18:15,2019-12-12 22:22:29,Chrome 66.0.3359.126,Android Linux 9,1,1,53,1,3,1,0.0,3.0
123,39.83.206.223,,,,,,,,,2019-12-12 22:23:35,2019-12-12 22:24:40,Opera,Android Linux 8.0.0,1,1,22,4,3,4,0.0,3.0
124,117.136.119.13,,,,,,,,,2019-12-12 22:23:37,2019-12-12 22:24:41,Chrome 67.0.3396.87,Android Linux 9,1,2,21,1,3,1,0.0,4.0
125,124.244.178.157,,,,,,,,,2019-12-12 22:24:18,2019-12-12 22:26:05,Unknown Browser,iPhone iOS 12.4.1,1,2,23,1,3,1,5.0,5.0
126,117.147.19.9,,,,,,,,,2019-12-12 22:27:53,2019-12-12 22:28:16,Unknown Browser,iPhone iOS 13.2.3,1,2,20,1,3,4,4.0,5.0
127,182.104.50.59,,,,,,,,,2019-12-12 22:29:27,2019-12-12 22:31:07,Unknown Browser,iPhone iOS 13.1.3,1,1,23,3,3,3,10.0,5.0
128,61.93.130.218,,,,,,,,,2019-12-12 22:29:45,2019-12-12 22:32:13,Unknown Browser,MacOS Macintosh X 10.15.1,1,2,23,2,3,4,7.0,5.0
129,101.173.102.228,,,,,,,,,2019-12-12 22:30:45,2019-12-12 22:32:48,Unknown Browser,iPhone iOS 13.1.3,1,2,23,1,3,1,3.0,1.0
130,112.28.150.167,,,,,,,,,2019-12-12 22:32:40,2019-12-12 22:33:55,Unknown Browser,iPhone iOS 13.2,1,2,21,2,3,2,0.0,5.0
131,117.30.179.35,,,,,,,,,2019-12-12 22:32:07,2019-12-12 22:34:18,Chrome 66.0.3359.126,Android Linux 9,1,1,22,4,3,2,5.0,5.0
132,118.180.226.1,,,,,,,,,2019-12-12 22:39:39,2019-12-12 22:40:57,Chrome 66.0.3359.126,Android Linux 8.1.0,1,2,20,4,3,2,0.0,5.0
133,117.136.109.156,,,,,,,,,2019-12-12 22:46:09,2019-12-12 22:47:38,Unknown Browser,iPhone iOS 13.1.2,1,2,23,3,3,1,10.0,5.0
134,223.14.146.19,,,,,,,,,2019-12-12 22:53:36,2019-12-12 22:54:49,Unknown Browser,iPhone iOS 13.1.3,1,2,23,3,3,1,8.0,5.0
135,120.244.174.89,,,,,,,,,2019-12-12 22:55:49,2019-12-12 22:56:49,Chrome 74.0.3729.136,Android Linux 9,1,2,24,3,3,3,6.0,8.0
136,202.198.7.232,,,,,,,,,2019-12-12 22:58:23,2019-12-12 22:59:40,Chrome 66.0.3359.126,Android Linux 8.0.0,1,2,22,1,3,1,6.0,4.0
137,119.236.7.192,,,,,,,,,2019-12-12 22:59:40,2019-12-12 23:00:56,Chrome 78.0.3904.108,Android Linux 9,1,2,22,3,3,1,6.0,6.0
138,124.127.255.100,,,,,,,,,2019-12-12 22:58:23,2019-12-12 23:00:56,Unknown Browser,IPad iOS 12.1.4,1,2,21,4,3,4,2.0,5.0
139,119.236.7.192,,,,,,,,,2019-12-12 23:01:19,2019-12-12 23:01:55,Unknown Browser,iPhone iOS 12.4,1,2,24,2,3,2,0.0,2.0
140,171.44.71.240,,,,,,,,,2019-12-12 23:05:24,2019-12-12 23:06:20,Unknown Browser,iPhone iOS 13.1.3,1,2,23,3,3,2,10.0,8.0
141,124.217.188.169,,,,,,,,,2019-12-12 23:12:06,2019-12-12 23:13:08,Unknown Browser,iPhone iOS 13.1.3,1,2,25,1,3,2,4.0,3.0
142,119.248.81.115,,,,,,,,,2019-12-12 23:13:40,2019-12-12 23:14:24,Unknown Browser,iPhone iOS 13.2.3,1,2,23,3,3,3,6.0,6.0
143,122.70.153.134,,,,,,,,,2019-12-12 23:22:25,2019-12-12 23:23:22,Chrome 66.0.3359.126,Android Linux 9,1,2,22,1,3,1,8.0,8.0
144,222.205.126.157,,,,,,,,,2019-12-12 23:31:05,2019-12-12 23:32:42,Chrome 66.0.3359.126,Android Linux 9,1,1,28,2,3,2,6.0,7.0
145,223.199.74.129,,,,,,,,,2019-12-12 23:31:45,2019-12-12 23:33:21,Chrome 66.0.3359.126,Android Linux 9,1,2,21,3,3,3,5.0,5.0
146,106.7.170.0,,,,,,,,,2019-12-12 23:33:36,2019-12-12 23:35:26,Unknown Browser,iPhone iOS 12.2,1,2,21,1,3,1,0.0,5.0
147,101.86.144.153,,,,,,,,,2019-12-12 23:39:15,2019-12-12 23:40:12,Unknown Browser,iPhone iOS 13.1.3,1,1,33,3,3,3,0.0,5.0
148,210.32.136.164,,,,,,,,,2019-12-12 23:44:02,2019-12-12 23:47:40,Unknown Browser,iPhone iOS 12.4,1,2,23,1,3,1,5.0,5.0
149,103.27.25.92,,,,,,,,,2019-12-13 00:25:02,2019-12-13 00:26:25,Unknown Browser,iPhone iOS 13.1.3,1,2,23,1,3,1,0.0,2.0
150,223.104.160.10,,,,,,,,,2019-12-13 00:42:09,2019-12-13 00:43:42,Unknown Browser,iPhone iOS 13.2.3,1,2,21,4,3,4,10.0,0.0
151,121.34.32.169,,,,,,,,,2019-12-13 02:25:02,2019-12-13 02:26:12,Unknown Browser,iPhone iOS 12.4.1,1,2,23,3,3,2,5.0,4.0
152,223.104.21.208,,,,,,,,,2019-12-13 07:52:51,2019-12-13 07:56:20,Chrome 66.0.3359.126,Android Linux 9,1,2,22,1,3,3,10.0,5.0
153,103.251.99.92,,,,,,,,,2019-12-13 09:19:51,2019-12-13 09:20:35,Unknown Browser,iPhone iOS 12.1.4,1,2,23,3,3,4,3.0,5.0
154,202.175.187.194,,,,,,,,,2019-12-13 10:11:17,2019-12-13 10:12:46,Unknown Browser,iPhone iOS 13.3,1,1,23,2,3,2,0.0,0.0
155,220.115.159.5,,,,,,,,,2019-12-13 10:13:11,2019-12-13 10:14:37,Unknown Browser,iPhone iOS 10.3.2,1,1,19,3,3,1,5.0,5.0
156,117.136.32.111,,,,,,,,,2019-12-13 10:17:12,2019-12-13 10:17:51,Chrome 66.0.3359.126,Android Linux 8.0.0,1,1,19,2,3,1,9.0,10.0
157,223.104.64.233,,,,,,,,,2019-12-13 10:23:32,2019-12-13 10:24:17,Chrome 66.0.3359.126,Android Linux 9,1,1,101,2,3,1,10.0,10.0
158,223.104.4.68,,,,,,,,,2019-12-13 12:42:49,2019-12-13 12:43:54,Chrome 66.0.3359.126,Android Linux 9,1,1,21,2,3,2,4.0,3.0
159,182.105.83.28,,,,,,,,,2019-12-13 13:23:21,2019-12-13 13:24:57,Unknown Browser,iPhone iOS 12.3.1,1,1,35,1,3,1,1.0,5.0
160,220.115.159.6,,,,,,,,,2019-12-13 13:34:49,2019-12-13 13:36:57,Chrome 66.0.3359.126,Android Linux 9,1,1,21,4,3,4,10.0,8.0
